id,title,slug,difficulty
290,Word Pattern,word-pattern,Easy
303,Range Sum Query - Immutable,range-sum-query-immutable,Easy
326,Power of Three,power-of-three,Easy
342,Power of Four,power-of-four,Easy
344,Reverse String,reverse-string,Easy
347,Top K Frequent Elements,top-k-frequent-elements,Medium
350,Intersection of Two Arrays II,intersection-of-two-arrays-ii,Easy
367,Valid Perfect Square,valid-perfect-square,Easy
374,Guess Number Higher or Lower,guess-number-higher-or-lower,Easy
380,Insert Delete GetRandom O(1),insert-delete-getrandom-o1,Medium
412,Fizz Buzz,fizz-buzz,Easy
414,Third Maximum Number,third-maximum-number,Easy
438,Find All Anagrams in a String,find-all-anagrams-in-a-string,Medium
450,Delete Node in a BST,delete-node-in-a-bst,Medium
482,License Key Formatting,license-key-formatting,Easy
485,Max Consecutive Ones,max-consecutive-ones,Easy
509,Fibonacci Number,fibonacci-number,Easy
515,Find Largest Value in Each Tree Row,find-largest-value-in-each-tree-row,Medium
540,Single Element in a Sorted Array,single-element-in-a-sorted-array,Medium
543,Diameter of Binary Tree,diameter-of-binary-tree,Easy
557,Reverse Words in a String III,reverse-words-in-a-string-iii,Easy
567,Permutation in String,permutation-in-string,Medium
643,Maximum Average Subarray I,maximum-average-subarray-i,Easy
674,Longest Continuous Increasing Subsequence,longest-continuous-increasing-subsequence,Easy
680,Valid Palindrome II,valid-palindrome-ii,Easy
700,Search in a Binary Search Tree,search-in-a-binary-search-tree,Easy
701,Insert into a Binary Search Tree,insert-into-a-binary-search-tree,Medium
703,Kth Largest Element in a Stream,kth-largest-element-in-a-stream,Easy
704,Binary Search,binary-search,Easy
705,Design HashSet,design-hashset,Easy
709,To Lower Case,to-lower-case,Easy
767,Reorganize String,reorganize-string,Medium
876,Middle of the Linked List,middle-of-the-linked-list,Easy
904,Fruit Into Baskets,fruit-into-baskets,Medium
912,Sort an Array,sort-an-array,Medium
973,K Closest Points to Origin,k-closest-points-to-origin,Medium
977,Squares of a Sorted Array,squares-of-a-sorted-array,Easy
994,Rotting Oranges,rotting-oranges,Medium
1047,Remove All Adjacent Duplicates In String,remove-all-adjacent-duplicates-in-string,Easy
1161,Maximum Level Sum of a Binary Tree,maximum-level-sum-of-a-binary-tree,Medium
1189,Maximum Number of Balloons,maximum-number-of-balloons,Easy
1281,Subtract the Product and Sum of Digits of an Integer,subtract-the-product-and-sum-of-digits-of-an-integer,Easy
1295,Find Numbers with Even Number of Digits,find-numbers-with-even-number-of-digits,Easy
1325,Delete Leaves With a Given Value,delete-leaves-with-a-given-value,Medium
1342,Number of Steps to Reduce a Number to Zero,number-of-steps-to-reduce-a-number-to-zero,Easy
1346,Check If N and Its Double Exist,check-if-n-and-its-double-exist,Easy
1424,Diagonal Traverse II,diagonal-traverse-ii,Medium
1448,Count Good Nodes in Binary Tree,count-good-nodes-in-binary-tree,Medium
1456,Maximum Number of Vowels in a Substring of Given Length,maximum-number-of-vowels-in-a-substring-of-given-length,Medium
1480,Running Sum of 1d Array,running-sum-of-1d-array,Easy
1512,Number of Good Pairs,number-of-good-pairs,Easy
1672,Richest Customer Wealth,richest-customer-wealth,Easy
1679,Max Number of K-Sum Pairs,max-number-of-k-sum-pairs,Medium
1768,Merge Strings Alternately,merge-strings-alternately,Easy
1863,Sum of All Subset XOR Totals,sum-of-all-subset-xor-totals,Easy
1929,Concatenation of Array,concatenation-of-array,Easy
2095,Delete the Middle Node of a Linked List,delete-the-middle-node-of-a-linked-list,Medium
2287,Rearrange Characters to Make Target String,rearrange-characters-to-make-target-string,Easy
2348,Number of Zero-Filled Subarrays,number-of-zero-filled-subarrays,Medium
2574,Left and Right Sum Differences,left-and-right-sum-differences,Easy
2652,Sum Multiples,sum-multiples,Easy
2824,Count Pairs Whose Sum is Less than Target,count-pairs-whose-sum-is-less-than-target,Easy
2894,Divisible and Non-divisible Sums Difference,divisible-and-non-divisible-sums-difference,Easy
2942,Find Words Containing Character,find-words-containing-character,Easy
3120,Count the Number of Special Characters I,count-the-number-of-special-characters-i,Easy
3633,Earliest Finish Time for Land and Water Rides I,earliest-finish-time-for-land-and-water-rides-i,Easy
